order_id,customer_id,order_date,category,product_name,unit_price,quantity,discount_pct,gross_amount,shipping_cost,net_revenue,marketing_channel,payment_method,region,customer_segment,returned,review_score,has_review
ORD101645,CUST01266,2023-10-08,Home & Kitchen,Desk Lamp,129.91,1,15,129.91,5.22,110.42,Email,Buy Now Pay Later,North America,New,False,,False
ORD114628,CUST02560,2023-11-29,Electronics,Phone Case,161.29,1,15,161.29,11.64,137.1,Paid Search,Credit Card,North America,Returning,False,3.0,True
ORD109047,CUST00434,2024-07-03,Apparel,Running Shoes,24.23,1,0,24.23,4.18,24.23,Email,Credit Card,Middle East & Africa,New,False,4.0,True
ORD110444,CUST02926,2024-03-26,Home & Kitchen,Coffee Maker,107.68,4,0,430.72,10.38,430.72,Social Media,PayPal,Europe,New,False,3.0,True
ORD110909,CUST00402,2023-12-22,Office Supplies,Wireless Mouse,214.87,1,0,214.87,7.25,214.87,Organic Search,Credit Card,North America,VIP,False,1.0,True
ORD112428,CUST00790,2024-11-16,Apparel,Running Shoes,79.71,1,10,79.71,10.67,71.74,Organic Search,PayPal,North America,New,False,,False
ORD110351,CUST02620,2024-12-21,Apparel,Wool Sweater,46.99,1,5,46.99,5.17,44.64,Social Media,Credit Card,North America,New,False,1.0,True
ORD111503,CUST00683,2023-08-03,Electronics,USB-C Hub,164.38,2,5,328.76,11.78,312.32,Organic Search,PayPal,North America,Returning,False,4.0,True
ORD115476,CUST03470,2024-10-30,Electronics,Bluetooth Speaker,217.52,1,20,217.52,7.15,174.02,Email,Credit Card,North America,New,False,1.0,True
ORD100474,CUST03815,2024-10-20,Electronics,Laptop Stand,60.46,1,20,60.46,6.7,48.37,Paid Search,Credit Card,Latin America,Returning,False,5.0,True
ORD114939,CUST03385,2023-10-24,Beauty & Personal Care,Hair Dryer,67.47,1,20,67.47,3.11,53.98,Paid Search,Buy Now Pay Later,Asia Pacific,Returning,False,4.0,True
ORD102912,CUST03048,2024-12-24,Office Supplies,Ergonomic Chair,126.36,1,20,126.36,10.67,101.09,Social Media,Credit Card,North America,New,False,2.0,True
ORD114030,CUST03442,2024-08-14,Beauty & Personal Care,Makeup Palette,8.74,1,20,8.74,7.19,6.99,Direct,Credit Card,Asia Pacific,Returning,False,1.0,True
ORD102670,CUST02234,2023-12-21,Home & Kitchen,Coffee Maker,119.21,1,0,119.21,7.31,119.21,Paid Search,Debit Card,Europe,VIP,False,,False
ORD106311,CUST02402,2024-12-04,Electronics,Smartwatch,175.65,2,0,351.3,10.11,351.3,Organic Search,Credit Card,Asia Pacific,New,False,4.0,True
ORD102688,CUST01471,2024-03-21,Apparel,Rain Jacket,72.2,1,15,72.2,7.31,61.37,Organic Search,Credit Card,Europe,VIP,False,,False
ORD111283,CUST02708,2024-02-09,Electronics,USB-C Hub,70.93,4,0,283.72,10.26,283.72,Organic Search,Credit Card,Europe,Returning,False,,False
ORD111370,CUST01207,2024-11-11,Sports & Outdoors,Camping Tent,62.16,1,0,62.16,5.53,62.16,Social Media,PayPal,North America,New,False,3.0,True
ORD114764,CUST02048,2024-02-05,Beauty & Personal Care,Face Serum,15.68,1,0,15.68,10.81,15.68,Paid Search,Credit Card,Asia Pacific,New,False,1.0,True
ORD106473,CUST03190,2024-11-20,Beauty & Personal Care,Perfume,35.41,1,5,35.41,5.35,33.64,Social Media,Credit Card,Latin America,Returning,False,4.0,True
ORD104990,CUST02517,2024-07-30,Home & Kitchen,Desk Lamp,106.8,2,20,213.6,9.94,170.88,Email,Buy Now Pay Later,Latin America,VIP,False,4.0,True
ORD107214,CUST02598,2024-08-02,Sports & Outdoors,Resistance Bands,10.95,1,0,10.95,2.61,10.95,Direct,Credit Card,Europe,New,False,4.0,True
ORD109183,CUST03553,2023-12-08,Office Supplies,Ergonomic Chair,243.41,1,0,243.41,3.73,243.41,Social Media,Gift Card,Asia Pacific,Returning,False,3.0,True
ORD113604,CUST03768,2024-02-24,Electronics,Wireless Earbuds,29.33,1,0,29.33,7.75,29.33,Email,Credit Card,North America,New,False,5.0,True
ORD116544,CUST00943,2024-11-17,Electronics,Wireless Earbuds,153.86,1,20,153.86,5.51,123.09,Email,PayPal,North America,VIP,False,1.0,True
ORD102412,CUST00998,2024-07-02,Beauty & Personal Care,Perfume,47.26,1,10,47.26,9.02,42.53,Social Media,Credit Card,North America,Returning,False,1.0,True
ORD112433,CUST00917,2024-02-14,Office Supplies,Wireless Mouse,137.19,2,0,274.38,4.06,274.38,Organic Search,Buy Now Pay Later,North America,New,False,,False
ORD111828,CUST00806,2024-05-31,Beauty & Personal Care,Perfume,29.44,1,0,29.44,10.54,29.44,Email,Buy Now Pay Later,Latin America,New,False,4.0,True
ORD114914,CUST00315,2024-10-14,Apparel,Running Shoes,61.91,2,10,123.82,6.65,111.44,Organic Search,PayPal,North America,Returning,False,,False
ORD115960,CUST03257,2024-10-22,Toys & Games,Board Game,34.01,1,0,34.01,4.75,34.01,Social Media,Debit Card,North America,VIP,False,1.0,True
ORD116354,CUST00200,2024-10-13,Electronics,Bluetooth Speaker,83.27,1,15,83.27,7.31,70.78,Referral,Credit Card,Europe,New,False,,False
ORD117051,CUST00901,2023-09-16,Apparel,Graphic Tee,88.68,1,5,88.68,10.46,84.25,Paid Search,Debit Card,North America,New,False,1.0,True
ORD113698,CUST01962,2024-09-29,Beauty & Personal Care,Face Serum,49.97,1,15,49.97,8.84,42.47,Direct,Credit Card,North America,Returning,False,,False
ORD117213,CUST03609,2024-08-23,Beauty & Personal Care,Face Serum,35.66,1,0,35.66,7.9,35.66,Paid Search,PayPal,North America,Returning,False,4.0,True
ORD112924,CUST04187,2024-05-06,Electronics,Phone Case,151.52,1,10,151.52,6.63,136.37,Social Media,Credit Card,Europe,New,True,3.0,True
ORD104246,CUST00730,2024-05-30,Apparel,Denim Jacket,87.48,1,0,87.48,4.32,87.48,Social Media,Credit Card,Middle East & Africa,New,False,,False
ORD101288,CUST00215,2023-12-14,Office Supplies,Wireless Mouse,31.3,4,5,125.2,8.32,118.94,Organic Search,Credit Card,North America,New,False,1.0,True
ORD115443,CUST02139,2024-12-18,Sports & Outdoors,Yoga Mat,24.5,1,15,24.5,7.19,20.82,Direct,Credit Card,Asia Pacific,New,False,,False
ORD101299,CUST03655,2023-12-13,Beauty & Personal Care,Face Serum,61.53,1,25,61.53,3.06,46.15,Direct,Credit Card,North America,Returning,False,1.0,True
ORD109765,CUST02654,2024-01-28,Apparel,Wool Sweater,81.78,4,0,327.12,6.69,327.12,Organic Search,Credit Card,Europe,New,False,4.0,True
ORD108439,CUST02412,2023-11-05,Toys & Games,Building Blocks Set,13.61,1,10,13.61,11.89,12.25,Email,Credit Card,Asia Pacific,New,False,1.0,True
ORD109698,CUST03795,2024-08-17,Office Supplies,Desk Organizer,72.0,1,0,72.0,5.41,72.0,Paid Search,Buy Now Pay Later,North America,VIP,False,5.0,True
ORD108808,CUST02228,2023-12-27,Electronics,Phone Case,73.47,1,0,73.47,8.68,73.47,Paid Search,Credit Card,North America,VIP,False,,False
ORD111675,CUST03880,2024-01-19,Home & Kitchen,Knife Set,60.65,3,0,181.95,3.97,181.95,Direct,Credit Card,Asia Pacific,New,False,,False
ORD100802,CUST00724,2024-08-27,Apparel,Graphic Tee,74.86,1,25,74.86,10.76,56.14,Paid Search,Credit Card,Asia Pacific,New,False,4.0,True
ORD117885,CUST00603,2024-05-08,Sports & Outdoors,Yoga Mat,20.59,1,15,20.59,7.64,17.5,Paid Search,Credit Card,North America,Returning,False,3.0,True
ORD106046,CUST00918,2023-05-11,Sports & Outdoors,Water Bottle,147.23,1,25,147.23,6.01,110.42,Organic Search,Credit Card,Asia Pacific,Returning,False,4.0,True
ORD100878,CUST03726,2024-05-07,Sports & Outdoors,Yoga Mat,108.25,1,0,108.25,2.56,108.25,Social Media,Buy Now Pay Later,Middle East & Africa,VIP,False,4.0,True
