customer_id,recency,frequency,monetary,R,F,M,RFM_score,segment,cluster,marketing_channel
CUST00001,74,5,445.92,2,3,3,8,Loyal Customers,1,Organic Search
CUST00002,61,3,90.82000000000001,2,1,1,4,At Risk,3,Social Media
CUST00003,2,3,167.99,4,1,1,6,Potential Loyalists,3,Organic Search
CUST00004,4,3,338.12,4,1,2,7,Potential Loyalists,3,Social Media
CUST00005,170,6,594.2,1,3,3,7,Potential Loyalists,1,Social Media
CUST00006,42,6,1003.64,3,3,4,10,Champions,2,Social Media
CUST00007,220,4,1079.5400000000002,1,2,4,7,Potential Loyalists,2,Paid Search
CUST00008,21,9,862.51,4,4,4,12,Champions,2,Referral
CUST00009,221,6,495.36,1,3,3,7,Potential Loyalists,1,Organic Search
CUST00010,8,6,516.29,4,3,3,10,Champions,1,Direct
CUST00011,28,6,562.73,3,3,3,9,Loyal Customers,1,Direct
CUST00012,261,4,1026.1799999999998,1,2,4,7,Potential Loyalists,0,Email
CUST00013,29,4,213.20000000000002,3,2,1,6,Potential Loyalists,3,Paid Search
CUST00014,37,5,323.39,3,3,2,8,Loyal Customers,1,Organic Search
CUST00015,3,4,913.9599999999999,4,2,4,10,Champions,1,Direct
CUST00016,107,4,647.15,2,2,3,7,Potential Loyalists,1,Organic Search
CUST00017,223,1,30.74,1,1,1,3,Hibernating,0,Paid Search
CUST00018,62,5,737.66,2,3,4,9,Loyal Customers,1,Email
CUST00019,169,6,452.28,1,3,3,7,Potential Loyalists,1,Paid Search
CUST00020,119,3,285.39,2,1,2,5,At Risk,3,Social Media
CUST00021,15,6,818.2,4,3,4,11,Champions,1,Organic Search
CUST00022,51,7,610.12,3,4,3,10,Champions,1,Organic Search
CUST00023,17,6,682.88,4,3,4,11,Champions,1,Email
CUST00024,36,5,402.23,3,3,2,8,Loyal Customers,1,Organic Search
CUST00025,39,7,1589.2,3,4,4,11,Champions,2,Social Media
CUST00026,89,2,437.84999999999997,2,1,3,6,Potential Loyalists,3,Organic Search
CUST00027,126,5,458.55999999999995,2,3,3,8,Loyal Customers,1,Email
CUST00028,45,4,356.55,3,2,2,7,Potential Loyalists,3,Paid Search
CUST00029,242,3,664.0699999999999,1,1,3,5,At Risk,0,Paid Search
CUST00030,33,5,367.26,3,3,2,8,Loyal Customers,1,Organic Search
CUST00031,19,3,147.07,4,1,1,6,Potential Loyalists,3,Paid Search
CUST00032,363,6,760.9900000000001,1,3,4,8,Loyal Customers,0,Organic Search
CUST00033,124,3,309.93,2,1,2,5,At Risk,3,Organic Search
CUST00034,64,3,288.32,2,1,2,5,At Risk,3,Organic Search
CUST00035,170,2,156.29,1,1,1,3,Hibernating,3,Organic Search
CUST00036,114,6,836.33,2,3,4,9,Loyal Customers,1,Paid Search
CUST00037,32,5,596.17,3,3,3,9,Loyal Customers,1,Paid Search
CUST00038,44,7,827.55,3,4,4,11,Champions,2,Organic Search
CUST00039,392,4,447.5,1,2,3,6,Potential Loyalists,0,Social Media
CUST00040,5,4,199.14,4,2,1,7,Potential Loyalists,3,Email
CUST00041,166,2,296.76,1,1,2,4,At Risk,3,Direct
CUST00044,119,7,1457.43,2,4,4,10,Champions,2,Direct
CUST00045,55,4,499.94,2,2,3,7,Potential Loyalists,1,Organic Search
CUST00046,22,7,1240.36,4,4,4,12,Champions,2,Organic Search
CUST00047,276,3,571.52,1,1,3,5,At Risk,0,Organic Search
CUST00048,98,5,448.11,2,3,3,8,Loyal Customers,1,Social Media
CUST00049,37,3,288.67,3,1,2,6,Potential Loyalists,3,Social Media
CUST00050,9,5,373.6,4,3,2,9,Loyal Customers,1,Email
CUST00051,20,4,248.93,4,2,2,8,Loyal Customers,3,Organic Search
CUST00052,317,2,97.60999999999999,1,1,1,3,Hibernating,0,Referral
CUST00053,26,4,401.15000000000003,3,2,2,7,Potential Loyalists,3,Organic Search
CUST00054,367,2,391.39,1,1,2,4,At Risk,0,Direct
CUST00055,221,3,426.93,1,1,3,5,At Risk,0,Email
CUST00056,20,5,365.85,4,3,2,9,Loyal Customers,1,Direct
CUST00057,230,5,1304.46,1,3,4,8,Loyal Customers,2,Email
CUST00058,107,1,58.77,2,1,1,4,At Risk,3,Organic Search
CUST00059,242,6,773.27,1,3,4,8,Loyal Customers,1,Direct
CUST00060,215,5,760.42,1,3,4,8,Loyal Customers,1,Direct
CUST00061,49,5,767.88,3,3,4,10,Champions,1,Social Media
CUST00062,30,4,430.61,3,2,3,8,Loyal Customers,3,Referral
CUST00063,291,5,418.64,1,3,2,6,Potential Loyalists,0,Social Media
CUST00064,57,3,333.83,2,1,2,5,At Risk,3,Paid Search
CUST00065,63,4,933.54,2,2,4,8,Loyal Customers,1,Direct
CUST00066,58,6,825.09,2,3,4,9,Loyal Customers,1,Organic Search
CUST00067,40,4,272.1,3,2,2,7,Potential Loyalists,3,Social Media
CUST00068,29,4,211.05,3,2,1,6,Potential Loyalists,3,Paid Search
CUST00069,111,4,429.96,2,2,3,7,Potential Loyalists,3,Referral
CUST00070,318,1,161.37,1,1,1,3,Hibernating,0,Organic Search
CUST00071,68,2,99.25,2,1,1,4,At Risk,3,Social Media
CUST00072,113,5,830.51,2,3,4,9,Loyal Customers,1,Organic Search
CUST00073,43,5,644.78,3,3,3,9,Loyal Customers,1,Organic Search
CUST00074,34,1,107.06,3,1,1,5,At Risk,3,Paid Search
CUST00075,48,4,998.9,3,2,4,9,Loyal Customers,1,Social Media
CUST00076,73,4,774.55,2,2,4,8,Loyal Customers,1,Direct
CUST00077,93,2,182.95000000000002,2,1,1,4,At Risk,3,Organic Search
CUST00078,589,2,109.53,1,1,1,3,Hibernating,0,Email
CUST00079,11,3,392.2,4,1,2,7,Potential Loyalists,3,Paid Search
