month,orders,revenue,avg_order_value,units_sold
2023-01,40,5102.8,127.57000000000001,59
2023-02,62,8065.76,130.09290322580645,91
2023-03,148,14173.15,95.76452702702703,219
2023-04,184,19410.4,105.4913043478261,287
2023-05,250,30389.21,121.55684,413
2023-06,243,29988.23,123.40835390946502,391
2023-07,345,39190.41,113.59539130434784,536
2023-08,345,39353.73,114.06878260869566,529
2023-09,443,47805.82,107.91381489841986,641
2023-10,492,54466.47,110.70420731707317,754
2023-11,941,107733.27,114.48806588735388,1442
2023-12,1113,129543.76,116.39151841868822,1735
2024-01,897,104045.32,115.9925529542921,1401
2024-02,666,77083.98,115.7417117117117,1020
2024-03,842,90373.15,107.3315320665083,1251
2024-04,892,102022.72,114.37524663677131,1423
2024-05,1056,117792.59,111.54601325757575,1624
2024-06,927,105755.63,114.08374325782093,1444
2024-07,947,110571.97,116.76026399155228,1470
2024-08,966,109491.34,113.34507246376812,1557
2024-09,1132,129741.24,114.61240282685513,1815
2024-10,1206,145129.6,120.33963515754562,1922
2024-11,2038,248698.47,122.03065260058881,3197
2024-12,1825,208376.78,114.17905753424658,2842
