order_id,customer_id,order_date,category,product_name,unit_price,quantity,discount_pct,gross_amount,shipping_cost,net_revenue,marketing_channel,payment_method,region,customer_segment,returned,review_score,has_review,order_month,cohort_month,cohort_index,recency,frequency,monetary,segment,cluster
ORD101645,CUST01266,2023-10-08,Home & Kitchen,Desk Lamp,129.91,1,15,129.91,5.22,110.42,Email,Buy Now Pay Later,North America,New,False,,False,2023-10,2023-10,0,39,8,1076.15,Champions,2
ORD114628,CUST02560,2023-11-29,Electronics,Phone Case,161.29,1,15,161.29,11.64,137.1,Paid Search,Credit Card,North America,Returning,False,3.0,True,2023-11,2023-11,0,127,7,633.66,Loyal Customers,1
ORD109047,CUST00434,2024-07-03,Apparel,Running Shoes,24.23,1,0,24.23,4.18,24.23,Email,Credit Card,Middle East & Africa,New,False,4.0,True,2024-07,2024-06,1,25,5,411.96,Loyal Customers,1
ORD110444,CUST02926,2024-03-26,Home & Kitchen,Coffee Maker,107.68,4,0,430.72,10.38,430.72,Social Media,PayPal,Europe,New,False,3.0,True,2024-03,2023-07,8,281,3,744.84,Potential Loyalists,0
ORD110909,CUST00402,2023-12-22,Office Supplies,Wireless Mouse,214.87,1,0,214.87,7.25,214.87,Organic Search,Credit Card,North America,VIP,False,1.0,True,2023-12,2023-05,7,205,8,956.28,Loyal Customers,2
ORD112428,CUST00790,2024-11-16,Apparel,Running Shoes,79.71,1,10,79.71,10.67,71.74,Organic Search,PayPal,North America,New,False,,False,2024-11,2024-01,10,46,4,441.24,Loyal Customers,3
ORD110351,CUST02620,2024-12-21,Apparel,Wool Sweater,46.99,1,5,46.99,5.17,44.64,Social Media,Credit Card,North America,New,False,1.0,True,2024-12,2023-12,12,11,3,148.89,Potential Loyalists,3
ORD111503,CUST00683,2023-08-03,Electronics,USB-C Hub,164.38,2,5,328.76,11.78,312.32,Organic Search,PayPal,North America,Returning,False,4.0,True,2023-08,2023-07,1,8,6,787.55,Champions,1
ORD115476,CUST03470,2024-10-30,Electronics,Bluetooth Speaker,217.52,1,20,217.52,7.15,174.02,Email,Credit Card,North America,New,False,1.0,True,2024-10,2024-06,4,63,6,503.81,Loyal Customers,1
ORD100474,CUST03815,2024-10-20,Electronics,Laptop Stand,60.46,1,20,60.46,6.7,48.37,Paid Search,Credit Card,Latin America,Returning,False,5.0,True,2024-10,2024-10,0,73,3,171.24,At Risk,3
ORD114939,CUST03385,2023-10-24,Beauty & Personal Care,Hair Dryer,67.47,1,20,67.47,3.11,53.98,Paid Search,Buy Now Pay Later,Asia Pacific,Returning,False,4.0,True,2023-10,2023-10,0,371,5,475.13,Potential Loyalists,0
ORD102912,CUST03048,2024-12-24,Office Supplies,Ergonomic Chair,126.36,1,20,126.36,10.67,101.09,Social Media,Credit Card,North America,New,False,2.0,True,2024-12,2024-12,0,8,5,952.89,Champions,1
ORD114030,CUST03442,2024-08-14,Beauty & Personal Care,Makeup Palette,8.74,1,20,8.74,7.19,6.99,Direct,Credit Card,Asia Pacific,Returning,False,1.0,True,2024-08,2024-07,1,140,4,441.53999999999996,Loyal Customers,3
ORD102670,CUST02234,2023-12-21,Home & Kitchen,Coffee Maker,119.21,1,0,119.21,7.31,119.21,Paid Search,Debit Card,Europe,VIP,False,,False,2023-12,2023-12,0,251,2,810.9300000000001,Potential Loyalists,0
ORD106311,CUST02402,2024-12-04,Electronics,Smartwatch,175.65,2,0,351.3,10.11,351.3,Organic Search,Credit Card,Asia Pacific,New,False,4.0,True,2024-12,2023-09,15,27,3,413.45,Potential Loyalists,3
ORD102688,CUST01471,2024-03-21,Apparel,Rain Jacket,72.2,1,15,72.2,7.31,61.37,Organic Search,Credit Card,Europe,VIP,False,,False,2024-03,2024-02,1,82,3,172.14000000000001,At Risk,3
ORD111283,CUST02708,2024-02-09,Electronics,USB-C Hub,70.93,4,0,283.72,10.26,283.72,Organic Search,Credit Card,Europe,Returning,False,,False,2024-02,2023-01,13,23,7,747.9200000000001,Champions,1
ORD111370,CUST01207,2024-11-11,Sports & Outdoors,Camping Tent,62.16,1,0,62.16,5.53,62.16,Social Media,PayPal,North America,New,False,3.0,True,2024-11,2023-08,15,25,6,478.34,Champions,1
ORD114764,CUST02048,2024-02-05,Beauty & Personal Care,Face Serum,15.68,1,0,15.68,10.81,15.68,Paid Search,Credit Card,Asia Pacific,New,False,1.0,True,2024-02,2024-02,0,31,3,132.35,Potential Loyalists,3
ORD106473,CUST03190,2024-11-20,Beauty & Personal Care,Perfume,35.41,1,5,35.41,5.35,33.64,Social Media,Credit Card,Latin America,Returning,False,4.0,True,2024-11,2023-07,16,42,7,467.19,Champions,1
ORD104990,CUST02517,2024-07-30,Home & Kitchen,Desk Lamp,106.8,2,20,213.6,9.94,170.88,Email,Buy Now Pay Later,Latin America,VIP,False,4.0,True,2024-07,2024-07,0,43,8,1148.86,Champions,2
ORD107214,CUST02598,2024-08-02,Sports & Outdoors,Resistance Bands,10.95,1,0,10.95,2.61,10.95,Direct,Credit Card,Europe,New,False,4.0,True,2024-08,2024-07,1,5,5,415.36,Loyal Customers,1
ORD109183,CUST03553,2023-12-08,Office Supplies,Ergonomic Chair,243.41,1,0,243.41,3.73,243.41,Social Media,Gift Card,Asia Pacific,Returning,False,3.0,True,2023-12,2023-10,2,15,5,554.48,Champions,1
ORD113604,CUST03768,2024-02-24,Electronics,Wireless Earbuds,29.33,1,0,29.33,7.75,29.33,Email,Credit Card,North America,New,False,5.0,True,2024-02,2023-05,9,46,6,590.0,Champions,1
ORD116544,CUST00943,2024-11-17,Electronics,Wireless Earbuds,153.86,1,20,153.86,5.51,123.09,Email,PayPal,North America,VIP,False,1.0,True,2024-11,2024-11,0,40,9,749.11,Champions,2
ORD102412,CUST00998,2024-07-02,Beauty & Personal Care,Perfume,47.26,1,10,47.26,9.02,42.53,Social Media,Credit Card,North America,Returning,False,1.0,True,2024-07,2024-06,1,73,7,379.33,Loyal Customers,1
ORD112433,CUST00917,2024-02-14,Office Supplies,Wireless Mouse,137.19,2,0,274.38,4.06,274.38,Organic Search,Buy Now Pay Later,North America,New,False,,False,2024-02,2023-10,4,54,8,887.96,Champions,2
ORD111828,CUST00806,2024-05-31,Beauty & Personal Care,Perfume,29.44,1,0,29.44,10.54,29.44,Email,Buy Now Pay Later,Latin America,New,False,4.0,True,2024-05,2024-02,3,66,4,633.87,Potential Loyalists,1
ORD114914,CUST00315,2024-10-14,Apparel,Running Shoes,61.91,2,10,123.82,6.65,111.44,Organic Search,PayPal,North America,Returning,False,,False,2024-10,2024-03,7,20,4,472.69,Loyal Customers,1
ORD115960,CUST03257,2024-10-22,Toys & Games,Board Game,34.01,1,0,34.01,4.75,34.01,Social Media,Debit Card,North America,VIP,False,1.0,True,2024-10,2024-10,0,43,3,132.24,Potential Loyalists,3
ORD116354,CUST00200,2024-10-13,Electronics,Bluetooth Speaker,83.27,1,15,83.27,7.31,70.78,Referral,Credit Card,Europe,New,False,,False,2024-10,2024-09,1,67,6,491.1,Loyal Customers,1
